,Precision,Recall,Accuracy,Dice,IoU
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.016491686567836707,0.2281795511221945,0.007294323979591837,0.030760179854603522,0.01562033203875208
3,0.09118962151268972,0.42500733783387146,0.028858418367346938,0.15016073835943172,0.08117501962103375
4,0.0018966737438075017,0.039089848308051345,0.0013352997448979591,0.0036178082561624234,0.0018121821919290274
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.008211985224532162,0.22624053826745164,0.005361128826530612,0.015848700877864844,0.007987647355762092
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0444652468991341,0.42677448337825696,0.018933354591836735,0.08053918867364673,0.04195927741707522
21,0.0,0.0,0.0,0.0,0.0
22,0.0003947022191035874,0.004777070063694267,0.0001793686224489796,0.0007291582273353318,0.00036471208007456335
23,0.0,,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,,0.0,0.0,0.0
29,0.0,,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,,0.0,0.0,0.0
33,0.0,,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,,0.0,0.0,0.0
36,0.01934095249643799,0.3235294117647059,0.012715242346938776,0.03649989988271976,0.018589201946330236
37,0.0,0.0,0.0,0.0,0.0
38,0.0001435269352215099,0.0036809815950920245,5.978954081632653e-05,0.0002762812543168946,0.00013815971262779773
39,0.0,,0.0,0.0,0.0
40,0.0,,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
